JSP Vehicle,GSP Vehicle,Seradata Vehicle,Family,Country,Class
,,LONG MARCH 3A (CZ-3A),Long March 3A,China,Medium
,,DELTA IVH-4050H,Delta IV Heavy,United States,Heavy
,,PROTON M/BRIZ-M (PH3),Proton,Russia,Heavy
,,ATLAS V 401 (RL10A-4-2),Atlas V,United States,Medium
,,PROTON M/BRIZ-M (PH1 MOD 1),Proton,Russia,Heavy
,,ATLAS V 531 (RL10A-4-2),Atlas V,United States,Medium
,,LONG MARCH 3C (CZ-3C),Long March 3C,China,Medium
,,LONG MARCH 3B-G2 (B/E) (CZ-3B-G2),Long March 3B,China,Medium
,,LONG MARCH 3B-G3 (CZ-3B-G3),Long March 3B,China,Medium
,,"DELTA IVM+ 5,4",Delta IV,United States,Medium
,,ATLAS V 551 (RL10A-4-2),Atlas V,United States,Medium
,,DELTA IVH-4050H (UPGRADED),Delta IV Heavy,United States,Heavy
,,FALCON 9v1.1 (Ex),Falcon 9,United States,Medium
,,GSLV 2 CUSP-1,GSLV,India,Medium
,,PSLV-XL,PSLV,India,Medium
,,ATLAS V 541 (RL10A-4-2),Atlas V,United States,Medium
,,H-2A202 (SRB-A3),H-II,Japan,Medium
,,PROTON M/BRIZ-M (PH4),Proton,Russia,Heavy
,,ATLAS V 551 (RL10C-1),Atlas V,United States,Medium
,,"DELTA IVM+ 5,4 (UPGRADED)",Delta IV,United States,Medium
,,PROTON M/BLOK DM-03 (8K82M 11S861),Proton,Russia,Heavy
,,ATLAS V 421 (RL10C-1),Atlas V,United States,Medium
